legacy_province,target_unit_34
"An Giang","An Giang"
"Bà Rịa - Vũng Tàu","TP.Hồ Chí Minh"
"Bắc Giang","Bắc Ninh"
"Bắc Kạn","Thái Nguyên"
"Bạc Liêu","Cà Mau"
"Bắc Ninh","Bắc Ninh"
"Bến Tre","Vĩnh Long"
"Bình Định","Gia Lai"
"Bình Dương","TP.Hồ Chí Minh"
"Bình Phước","Đồng Nai"
"Bình Thuận","Lâm Đồng"
"Cà Mau","Cà Mau"
"TP.Cần Thơ","TP.Cần Thơ"
"Cao Bằng","Cao Bằng"
"TP.Đà Nẵng","TP.Đà Nẵng"
"Đắk Lắk","Đắk Lắk"
"Đắk Nông","Lâm Đồng"
"Điện Biên","Điện Biên"
"Đồng Nai","Đồng Nai"
"Đồng Tháp","Đồng Tháp"
"Gia Lai","Gia Lai"
"Hà Giang","Tuyên Quang"
"Hà Nam","Ninh Bình"
"TP.Hà Nội","TP.Hà Nội"
"Hà Tĩnh","Hà Tĩnh"
"Hải Dương","TP.Hải Phòng"
"TP.Hải Phòng","TP.Hải Phòng"
"Hậu Giang","TP.Cần Thơ"
"Hòa Bình","Phú Thọ"
"Huế","Huế"
"Hưng Yên","Hưng Yên"
"Khánh Hòa","Khánh Hòa"
"Kiên Giang","An Giang"
"Kon Tum","Quảng Ngãi"
"Lai Châu","Lai Châu"
"Lâm Đồng","Lâm Đồng"
"Lạng Sơn","Lạng Sơn"
"Lào Cai","Lào Cai"
"Long An","Tây Ninh"
"Nam Định","Ninh Bình"
"Nghệ An","Nghệ An"
"Ninh Bình","Ninh Bình"
"Ninh Thuận","Khánh Hòa"
"Phú Thọ","Phú Thọ"
"Phú Yên","Đắk Lắk"
"Quảng Bình","Quảng Trị"
"Quảng Nam","TP.Đà Nẵng"
"Quảng Ngãi","Quảng Ngãi"
"Quảng Ninh","Quảng Ninh"
"Quảng Trị","Quảng Trị"
"Sóc Trăng","TP.Cần Thơ"
"Sơn La","Sơn La"
"Tây Ninh","Tây Ninh"
"Thái Bình","Hưng Yên"
"Thái Nguyên","Thái Nguyên"
"Thanh Hóa","Thanh Hóa"
"Thừa Thiên Huế","Huế"
"Tiền Giang","Đồng Tháp"
"TP.Hồ Chí Minh","TP.Hồ Chí Minh"
"Trà Vinh","Vĩnh Long"
"Tuyên Quang","Tuyên Quang"
"Vĩnh Long","Vĩnh Long"
"Vĩnh Phúc","Phú Thọ"
"Yên Bái","Lào Cai"
